author,rank,contributions
benjamin preston,503,31
joshua brustein,504,31
vindu goel,505,31
gaia pianigiani,506,31
mark mazzetti,507,31
paul vitello,508,31
john markoff,509,31
sebnem arsu,510,31
juliet lapidos,511,31
sruthi gottipati,512,31
katie thomas,513,31
samantha stark,514,31
antony currie,515,31
reed abelson,516,31
ross ramsey,517,31
george gustines,518,31
john koblin,519,31
diane cardwell,520,31
ainara tiefenthäler,521,30
c. chivers,522,30
mike mcphate,523,30
jim yardley,524,30
jason horowitz,525,30
jonathan schultz,526,30
jessica silver-greenberg,527,30
brad spurgeon,528,30
jeremy egner,529,30
vijai singh,530,30
christian roman,531,30
steve eder,532,29
neil irwin,533,29
david segal,534,29
matt bai,535,29
benedict carey,536,29
ron nixon,537,29
tamar lewin,538,29
ray glier,539,29
brad stone,540,29
lydia polgreen,541,29
steven yaccino,542,28
cyrus sanati,543,28
joyce wadler,544,28
joe sharkey,545,28
quynhanh do,546,28
peter applebome,547,28
matt richtel,548,28
tatiana schlossberg,549,28
gina kolata,550,28
john harwood,551,28
nate taylor,552,28
felicity barringer,553,28
ben kenigsberg,554,28
eric lichtblau,555,28
mosi secret,556,28
ray rivera,557,28
tanzina vega,558,27
marjorie connelly,559,27
samantha tse,560,27
sam dolnick,561,27
robbie brown,562,27
hilary moss,563,27
susan saulny,564,27
daniel victor,565,27
eric taub,566,27
marcelle fischler,567,27
shaila dewan,568,27
seth kugel,569,27
elizabeth paton,570,27
michael winerip,571,27
bettina wassener,572,27
laurie goodstein,573,27
james warren,574,26
george bretherton,575,26
bee shapiro,576,26
farhad manjoo,577,26
russ buettner,578,26
robert cyran,579,26
andrea kannapell,580,26
scott sayare,581,26
dionne searcey,582,26
ben strauss,583,26
laura collins-hughes,584,26
simon johnson,585,26
toby bilanow,586,26
jay romano,587,26
nancy folbre,588,25
michael corkery,589,25
ronda kaysen,590,25
rebecca ruiz,591,25
carl zimmer,592,25
julie turkewitz,593,25
thayer evans,594,25
francis clines,595,25
penelope green,596,25
ashlee vance,597,25
alyssa kim,598,25
siobhan burke,599,25
frances robles,600,25
ruth la ferla,601,25
mary pilon,602,25
tom pedulla,603,25
nicholas wade,604,24
emily rueb,605,24
matthew saltmarsh,606,24
ihsan taylor,607,24
raymond hernandez,608,24
joanne starkey,609,24
katie rogers,610,24
ligaya mishan,611,24
stephanie rosenbloom,612,24
alexei barrionuevo,613,24
jenny anderson,614,24
zachery kouwe,615,24
erik olsen,616,24
stuart emmrich,617,24
austin ramzy,618,24
nada bakri,619,23
james dao,620,23
elaine louie,621,23
charles mcgrath,622,23
mark leibovich,623,23
caroline gilpin,624,23
julia moskin,625,23
patrick chappatte,626,23
rachel nuwer,627,23
gary antonick,628,23
steven kurutz,629,23
brian burke,630,23
erica berenstein,631,23
doreen carvajal,632,23
robb mandelbaum,633,23
stephanie goodman,634,23
anita gates,635,23
leslie picker,636,23
robert worth,637,23
john cushman,638,23
brett dykes,639,23
gregory schmidt,640,23
andrew chow,641,23
andrew newman,642,23
tom voelk,643,23
krishnan vasudevan,644,23
paula schwartz,645,23
eric dash,646,22
sally singer,647,22
patrick merrell,648,22
cheryl jensen,649,22
bao ong,650,22
paul mozur,651,22
jeff gordinier,652,22
liz moyer,653,22
lisa prevost,654,22
alexander burns,655,22
anne mancuso,656,22
christopher gray,657,22
tina rosenberg,658,22
michael forsythe,659,22
michael slackman,660,22
dan frosch,661,22
rachel nolan,662,22
alix browne,663,22
